scholarship_name,value,quantity,academic_year,requirements,note
Học bổng khuyến khích học tập HUCE,8 tỉ VNĐ/năm,Theo số lượng sinh viên đạt tiêu chuẩn,2025,Sinh viên hệ chính quy có kết quả học tập và rèn luyện đạt loại khá trở lên,Quỹ học bổng bằng 8% từ nguồn thu học phí hệ đào tạo chính quy
Học bổng khuyến khích Top 5 - Quy hoạch vùng và đô thị,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Mỹ thuật đô thị,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật xây dựng / Kỹ thuật công trình thủy,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật xây dựng / Kỹ thuật công trình biển,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật Cấp thoát nước / Kỹ thuật nước - Môi trường nước,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật Môi trường,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật Vật liệu,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Công nghệ kỹ thuật Vật liệu xây dựng,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật cơ khí / Máy xây dựng,Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng khuyến khích Top 5 - Kỹ thuật xây dựng (Chương trình PFIEV),Bằng học phí năm học,5,2025,Kết quả tuyển sinh trong top 5 của ngành và duy trì trong các năm học tiếp theo,Áp dụng từ năm 2025
Học bổng Đỗ Quốc Sam - Đặc biệt,20.000.000 VNĐ,1,2025,Sinh viên hệ dài hạn chính quy đảm bảo tiêu chuẩn,Được xét và cấp theo định kỳ vào ngày khai giảng hàng năm
Học bổng Đỗ Quốc Sam - Thường,5.000.000 VNĐ,Theo chỉ tiêu xét thưởng,2025,Sinh viên hệ dài hạn chính quy đảm bảo tiêu chuẩn,Quỹ học bổng mang tên cố Giáo sư Đỗ Quốc Sam
Học bổng CSC (COTANA Group),Tối thiểu 5.000 USD,1,2025,Sinh viên năm thứ 2 đến năm thứ 4 có kết quả học tập và nghiên cứu khoa học xuất sắc,Giải thưởng gồm kỷ niệm chương và tiền mặt. Trao hằng năm vào dịp lễ khai giảng
Học bổng Merali,13.000.000 VNĐ/năm,40,2025,Nữ sinh có năng lực học tập nhưng không có khả năng tài chính,Được cấp trong suốt 5 năm học cho đến khi tốt nghiệp nếu đảm bảo kết quả các kỳ học tốt. Phát 3 lần/năm
Học bổng Kumho Asiana,2.150.000 VNĐ/học kỳ,Khoảng 100 suất,2025,Sinh viên năm thứ nhất có thành tích xuất sắc trong học tập hoặc con em các gia đình chính sách có hoàn cảnh khó khăn,Được trao trong cả 4-5 năm học đại học nếu sinh viên luôn duy trì kết quả học tập tốt
Học bổng Zamil Steel,Không xác định,Theo chương trình,2025,Dành riêng cho sinh viên khoa Xây dựng,Học bổng từ đơn vị ngoài trường
Học bổng Viettel,Không xác định,Theo chương trình,2025,Theo tiêu chí của nhà tài trợ,Học bổng từ đơn vị ngoài trường
Học bổng Vietinbank,Không xác định,Theo chương trình,2025,Theo tiêu chí của nhà tài trợ,Học bổng từ đơn vị ngoài trường
Học bổng VINAX,Không xác định,Theo chương trình,2025,Dành riêng cho sinh viên Kiến trúc,Học bổng từ đơn vị ngoài trường
Học bổng Kova,Không xác định,Theo chương trình,2025,Theo tiêu chí của nhà tài trợ,Học bổng từ đơn vị ngoài trường
Học bổng Daikin,Không xác định,Theo chương trình,2025,Dành riêng cho sinh viên ngành Hệ thống Kỹ thuật trong công trình,Học bổng từ đơn vị ngoài trường
Học bổng Lotte,Không xác định,Theo chương trình,2025,Theo tiêu chí của nhà tài trợ,Học bổng từ đơn vị ngoài trường
Học bổng Gamuda Land Scholarship,150 triệu VNĐ/năm,10,2025,Sinh viên năm thứ 3 4 5 có điểm trung bình tích lũy từ 3.2/4.0 có khả năng tiếng Anh thành thạo,Bao gồm 100% học phí lên đến 3 năm sinh hoạt phí tiền thuê nhà hàng tháng laptop. Cơ hội thực tập và làm việc sau khi tốt nghiệp
Học bổng Chevening (Anh),Toàn phần (học phí lên đến £12000 phụ cấp hàng tháng vé máy bay),Theo chương trình,2025,Ưu tiên cho những cá nhân xuất sắc có tiềm năng trở thành các nhà lãnh đạo,Thạc sĩ một năm tại các trường đại học hàng đầu của Vương quốc Anh. Nộp hồ sơ vào tháng 8 hàng năm
Học bổng ARES (Bỉ),Toàn phần,Theo chương trình,2025,Đã tốt nghiệp đại học có tối thiểu 2 năm kinh nghiệm làm việc sau khi tốt nghiệp,Chương trình thạc sỹ bổ sung. Nộp hồ sơ tháng 1 hàng năm
Học bổng Đại học Bách khoa Milan (Ý),Hỗ trợ học phí 3300 euro/năm nhà ở 5000 euro/năm,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Thạc sĩ 2 năm. Nộp hồ sơ tháng 2 hàng năm
Học bổng Chính phủ Pháp,Toàn phần (vé máy bay chi phí ăn ở),Theo chương trình,2025,Trình độ tiếng Pháp B1 B2 một số trường yêu cầu tiếng Anh cơ bản,Học bổng song bằng hoặc học bổng toàn phần. Nộp hồ sơ tháng 10 đến tháng 2 hàng năm
Học bổng DAAD (Đức) - Thực tập sinh viên,650 Euro/tháng,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Thời gian 2-3 tháng hoặc dài hơn
Học bổng DAAD (Đức) - Tiến sĩ,Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chương trình đào tạo tiến sĩ tại các trường đại học Đức
Học bổng Chính phủ Slovakia,350-1000 Euro/tháng,Theo chương trình,2025,Sinh viên nghiên cứu sinh giảng viên,Thời gian đào tạo 1 đến 2 học kỳ hoặc từ 1 đến 12 tháng. Nộp hồ sơ tháng 4 (kỳ mùa hè) hoặc tháng 10 (ngắn hạn)
Học bổng VEF (Hoa Kỳ),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chương trình học giả Thạc sĩ-Tiến sĩ
Học bổng Fulbright (Hoa Kỳ),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chương trình Thạc sĩ-Tiến sĩ
Học bổng Chính phủ Mexico (AMEXCID),Theo chương trình,Theo chương trình,2025,Điểm trung bình tối thiểu 8/10 (đại học),Chương trình đại học (1 học kỳ) thạc sĩ (2 năm) tiến sĩ (3 năm)
Học bổng Chính phủ Canada - Ngắn hạn giáo viên,Toàn phần,Theo chương trình,2025,Giảng viên sang làm nghiên cứu,Thời gian 24 tuần từ tháng 01 đến tháng 06
Học bổng Chính phủ Canada - Ngắn hạn sinh viên,Toàn phần,Theo chương trình,2025,Sinh viên từ năm thứ 2 đến năm cuối. Điểm trung bình tối thiểu 8/10. Thành thạo tiếng Anh hoặc tiếng Pháp,Thời gian 12 tuần từ tháng 5 đến tháng 9 hàng năm
Học bổng AID (Australia),Toàn phần,Theo chương trình,2025,Trình độ ngoại ngữ IELTS 5.5 không kỹ năng nào dưới 5,Chuyên ngành Xây dựng công trình (quản lý dự án cơ khí xây dựng/vật liệu quy hoạch đô thị)
Học bổng Chính phủ New Zealand,Toàn phần,30,2025,Theo yêu cầu của từng chương trình,Thạc sĩ tiến sĩ
Học bổng MEXT (Nhật Bản),Toàn phần,Theo chương trình,2025,Trình độ ngoại ngữ IELTS TOEFL Tiếng Nhật,Đại học Thạc sĩ Tiến sĩ. Nộp hồ sơ tháng 5 hàng năm
Học bổng JDS (Nhật Bản),Toàn phần,Theo chương trình,2025,Cán bộ có tối thiểu 2 năm kinh nghiệm công tác tại cơ quan nhà nước chưa từng được nhận bất kỳ học bổng nước ngoài nào ở trình độ thạc sĩ,Chương trình học bổng phát triển nguồn nhân lực Nhật Bản tại Việt Nam
Học bổng Đại học Công nghệ Nagaoka (Nhật Bản),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Thạc sĩ Tiến sĩ. Chuyên ngành Kết cấu xây dựng Tin học xây dựng
Học bổng Đại học Tổng hợp Tokyo (Nhật Bản),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Thạc sĩ và Tiến sĩ. Chuyên ngành Cầu và kết cấu Kỹ thuật bê tông Địa kỹ thuật Kỹ thuật ven biển
Học bổng Đại học Tổng hợp Saitama (Nhật Bản),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Thạc sĩ-tiến sĩ. Chuyên ngành Vật liệu bê tông cốt thép kỹ thuật cầu đường Kỹ thuật đường sông địa chất thuỷ văn
Học bổng Học viện công nghệ Tokyo (Nhật Bản),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chương trình quốc tế sau đại học. Nghiên cứu sinh viên
Học bổng Đại học Kumamoto (Nhật Bản),Toàn phần,Tối đa 5 sinh viên,2025,Theo yêu cầu của từng chương trình,Thạc sĩ và tiến sĩ. Chuyên ngành Xây dựng dân dụng Kiến trúc Quy hoạch Kỹ thuật môi trường Vật liệu xây dựng Công nghệ thông tin
Học bổng KGSP (Hàn Quốc),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Học bổng chính phủ Hàn Quốc
Học bổng Đại học quốc gia Seoul (Hàn Quốc),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chuyên ngành Kiến trúc Kỹ thuật kiến trúc Quy hoạch đô thị quy hoạch giao thông
Học bổng Đại học Sejong (Hàn Quốc),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chuyên ngành Kiến trúc Kỹ thuật kiến trúc Xây dựng Cơ khí Kỹ thuật môi trường
Học bổng Đại học Paichai (Hàn Quốc),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chuyên ngành Xây dựng dân dụng Môi trường Kỹ thuật giao thông Kiến trúc
Học bổng Chính phủ Singapore,Toàn phần,Theo chương trình,2025,Sinh viên năm thứ 1 hoặc thứ 2,Chấp nhận sẽ được tiếp tục sang học tại một trong các trường ĐH lớn của Singapore (NUS NTU SMU). Gồm tất cả các chuyên ngành ngoại trừ Y Nha khoa Kiến trúc và Luật
Học bổng Đại học Thammasat (Thái Lan) - Trao đổi sinh viên,Toàn phần,Theo chương trình,2025,Sinh viên Đại học sinh viên Cao học có kết quả học tập tốt (top 20 của lớp) có sức khoẻ tốt. Ưu tiên có chứng chỉ tiếng Anh TOEFL IELTS TOEIC,Thời gian thực tập 2 tháng
Học bổng Đại học Thammasat (Thái Lan) - Thạc sĩ và Tiến sĩ,Trợ cấp sinh hoạt 8000 bạt/tháng tiền nhà ở 2000 bạt/tháng vé máy bay khứ hồi,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chuyên ngành Xây dựng dân dụng Vật liệu Kỹ thuật môi trường Công nghệ thông tin Kỹ thuật điện
Học bổng Đại học Giao thông Tây Nam (Trung Quốc),Toàn phần,Theo chương trình,2025,Theo yêu cầu của từng chương trình,Chuyên ngành Cầu đường Xây dựng Kết cấu công trình
